Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
50000,1.7448839,24.182779456193355,-0.0025610984,0.008564231738035265,0.008564231738035265,0.0052921665,0.06781541,0.00029623663,1.0
100000,1.6877736,27.381033503691086,0.03012395,0.04086265607264472,0.04086265607264472,0.006031084,0.07049233,0.00028908302,1.0
150000,1.5444378,29.222625529340593,0.11363981,0.14207980652962515,0.14207980652962515,0.019842952,0.06993657,0.0002815486,1.0
200000,1.4331288,29.092057761732853,0.22849768,0.2588801926550271,0.2588801926550271,0.029240299,0.06916334,0.000274011,1.0
250000,1.3347762,29.278181818181817,0.3955811,0.4721549636803874,0.4721549636803874,0.03418947,0.06921716,0.00026645712,1.0
300000,1.2305005,28.298009367681498,0.5610761,0.6565064478311841,0.6565064478311841,0.032042824,0.06816415,0.00025890948,1.0
350000,1.111011,28.108454810495626,0.6515103,0.7694994179278231,0.7694994179278231,0.025237978,0.07001279,0.0002513582,1.0
400000,1.0518638,27.72774267662263,0.755666,0.8597701149425288,0.8597701149425288,0.016529143,0.06917994,0.00024381284,1.0
450000,0.96916103,27.401136363636365,0.7782436,0.8756388415672913,0.8756388415672913,0.014105385,0.07202709,0.00023627048,1.0
500000,0.9282538,27.62070938215103,0.7805739,0.9072696050372067,0.9072696050372067,0.0121581955,0.068850435,0.00022874496,1.0
550000,0.90128464,27.33011911514464,0.8184003,0.9314447592067989,0.9314447592067989,0.008569541,0.06884173,0.00022120324,1.0
600000,0.8718705,27.233766233766232,0.8317592,0.9531338226990401,0.9531338226990401,0.0061373645,0.069305554,0.00021366177,1.0
650000,0.8399984,27.384790011350738,0.8431264,0.9568427030096536,0.9568427030096536,0.00549237,0.07129124,0.00020612206,1.0
700000,0.8479633,27.456980056980058,0.8594364,0.9721274175199089,0.9721274175199089,0.0036257624,0.0709753,0.00019858165,1.0
750000,0.83911914,27.45728929384966,0.8603755,0.9703872437357631,0.9703872437357631,0.0037492476,0.069014594,0.00019104725,1.0
